Brand_Reg,Model_No
TEAC,LEDV1982HD
LOEWE,Connect 22 SL LED 50405_80
TCL,L39E3000F
AKAI,AK18LED
Sony,KDL-32W670A
Panasonic,TH-L55DT50A
Panasonic,TH-L47WT50A
Panasonic,TH-L47DT50A
Panasonic,TH-L47ET50A
Panasonic,TH-L42ET50A
Panasonic,TH-P50ST50A
Panasonic,TH-P60ST50A
Panasonic,TH-L42ET5A
Panasonic,TH-P50UT50A
LG,32LS345H-TA
Panasonic,TH-L42E5A
NEONIQ,ELF22A0WF3DF
Panasonic,TH-L32E5A
Panasonic,TH-65PF30W
Panasonic,TH-P50ST50A
TEAC,LEBD40D10FHD
Panasonic,TH-P60ST30A
Panasonic,TH-P42UT30A
Panasonic,TH-P42U30A
Panasonic,TH-L32E3A
Tecovision,LED19AHRLCBC
Viano,LED40FHD
LG,42LN5400-TA
VIVO,LEDTV24DFHD
LG,24MN33D
HISENSE,HL55K310PZL3D
LG,22MN43D
LG,50LA6620-TD
LG,60LN5400-TA
LG,47LN5710-TE
LG,55LN5710-TE
TOSHIBA,32W1300A
Blaupunkt,BP3914HD
LOEWE,Loewe XELOS M 46 52449_80
Kogan,KALED55XX1ZA
Sony,KDL-42W670A
GVA,GVA32DLEDV
GVA,GVA32DLEDCV
LG,55LP620H-TA
LG,42LP620H-TA
LG,60LA7410-TA
LG,60LA7400-TC
LG,47LT760H-TA
LG,32LT760H-TA
LG,47LA7400-TC
LG,24MA53D
Sony,KDL-40R450A
Sony,KDL-50R550A
LG,55LA6230-TB
LG,47LA6620-TD
LG,60LA6230-TB
Changhong,LED39B2500i*
HISENSE,HL50K310PL
SONY,KD-84X9000
Bang & Olufsen,BeoPlay V1-40
KOGAN,MAGPIES42LED
KOGAN,KAELED42XXXZA
KOGAN,KALED42XXXZB
KOGAN,KALED473DXZA
KOGAN,KALED46XXXZA
PALSONIC,TFTV827HD
Skyworth,24E66A
Bang & Olufsen,BeoVision 11-40
GRUNDIG,G1912LED
Blaupunkt,BPV2214FHD
BUSH,ID22FHD
SHARP,LC-70LE735X
GRUNDIG,G2212FLED
GRUNDIG,G2212FELDV
GRUNDIG,G19LED
Dick Smith,GE6820
Dick Smith,GE6832
AWA,MSDV1911-O3-D0PU
AWA,MHDV2413-O3-D0
AWA,MHDV2245-O3-D0
Blaupunkt,BP2214FHD
Blaupunkt,BPV2414FHD
Palsonic,TFTV5580M
Palsonic,TFTV5580MW
VIVO,PTV50HD
Palsonic,TFTV3915FL
Barbie/Spiderman,SV-156A5DVD
Palsonic,TFTV8070M
RV Media,041437
RV Media,041433
Palsonic,TFTV6080M
Palsonic,TFTV6080MW
Palsonic,TFTV3900DT
Palsonic,TFTV8060MW
GRUNDIG,G1912LED
GRUNDIG,G1912LEDV
GRUNDIG,G3212LED
GRUNDIG,G3212LEDV
RV Media,041436
Viano,LCD37HD3D
Palsonic,TFTV8072M
Palsonic,TFTV4980M
Palsonic,TFTV4980MW
Bang & Olufsen,BeoVision 11-46
GRUNDIG,G2412FLED
GRUNDIG,G2412FLEDV
PALSONIC,PDP5130FHD
PALSONIC,TFTV557FHD
GRUNDIG,G22FLED
Cars,SV-15HD1DVD 
Palsonic,TFTV557FHD
SHARP,LC-60LE631X-WH
SHARP,LC-60LE631X
PALSONIC,TFTV4960M / TFTV4960MW
Panasonic,TH-P55VT60A
GVA,GVA32HD
TOSHIBA,39AL900A
MXT,LED1901
MXT,LED2601
Dick Smith,GE6835
Dick Smith,GE6831
Dick Smith,GE6827
Dick Smith,GE6803
Dick Smith,GE6801
Dick Smith,GE6804
Dick Smith,GE6606
Turtles,SV-156A5DVD-T
Barbie,SV-156A5DVD-B
Palsonic,TFTV3920M
MXT,LED2201
PRIMA,LED3212FHDDVD
Palsonic,TFTV805FL
Palsonic,TFTV6690LED
Metz,Caleo 47 3D Media twin R
Medion,MD30612AUS-A
Tecovision,LED22AFRLLBB
Bang & Olufsen,BeoVision 11-55
Palsonic,TFTV327FHD
SAMSUNG ELECTRONICS,UA55F6400AMXRD
SAMSUNG ELECTRONICS,UA55F6400AMXXY
SAMSUNG ELECTRONICS,UA55F6400AM
Palsonic,TFTV820HD
Samsung,UA26EH4000
Palsonic,TFTV6070M 
Palsonic,TFTV6070MW
Palsonic,TFTV5570M
Palsonic,TFTV5570MW
Palsonic,TFTV4970M 
Palsonic,tftv4970MW
HITACHI,LE32EC05AU
AWA,MSDV2968-05
AWA,MSDV1962-O4
Palsonic,TFTV803LEDR
Palsonic,TFTV8157DT
AWA,LE4603-O5
AWA, 
LOEWE,Individual 46 Compose 3D DR+ 50431_44
Tecovision,LED19AHRDLCBC
LOEWE,Connect ID 55 DR+ 51465_44
LOEWE,LOEWE Connect ID 40 DR+ 51463_44
Dick Smith,GE6824
BUSH,ID26HDV
BAUHN,ATV-32HDC1N 
VERA,NM018-34LED
LOEWE,Individual 55 Compose 3D DR+ 50432B48
LOEWE,Individual 55 Compose 3D DR+ 50432U48
LOEWE,Individual 55 Compose 3D DR+ 50432L48
LOEWE,Individual 40 Compose 3D DR+ 50430_44
LOEWE,LOEWE Connect ID 46 DR+51464_44
sunview,SH24AFEHDP
sunview,SA32AEHDP
Sony,KDL-32W600A
Dick Smith,GE6834
Dick Smith,GE6834
TEAC,LCD4265FHD
KOGAN,KGNFHDLED42VAA
NEONIQ,LT-2218
KOGAN,KGNFHDLED32VAA
KOGAN,KGNFHDLED42KVBA
KOGAN,KGNFHDLED46VAA
SONIQ,E42Z10A
KOGAN,KGNFHD42KVAA
KOGAN,KGNFHD32KVAA
TEAC,LE4688FHD
Polaroid,I0317
Sony,KDL-47W800A
LG,55LA7400-TC
LOEWE,Loewe INDIVIDUAL 32 COMPOSE LED 100 69415B47
LOEWE,Loewe INDIVIDUAL 32 COMPOSE LED 100 69415L47
LOEWE,Loewe INDIVIDUAL 32 COMPOSE LED 100 69415U47
SAMSUNG ELECTRONICS,T23B350AA
SAMSUNG ELECTRONICS,T22B350AA
SAMSUNG ELECTRONICS,T22A350
LG,26MA33D
LG,22MA33D
LG,29MN33D
SAMSUNG ELECTRONICS,PS43F4500AMXRD
SAMSUNG ELECTRONICS,PS43F4500AMXXY
SAMSUNG ELECTRONICS,PS43F4500AM
Tecovision,LED19AHRDLCBC
Tecovision,LED22AFRLLBB
Tecovision,LED22AFRDLLBB
Panasonic,TH-L55DT60A
Tecovision,LED26AFRLGBC
Tecovision,LCD32AHRLBBC
Panasonic,TH-P55UT50A
Panasonic,TH-L32B6A
Panasonic,TH-42PF20W
SONIQ,E23Z13A-AU
TEAC,LEDV19U83HD
SONIQ,E55S12A-AU
Palsonic,TFTV6044FHD
TEAC,LE55BEAFHD
Kogan,KALED46XX1ZA
Kogan,KALED553D1A
Panasonic,TH-L47E5A
Panasonic,TH-L47E5A
Panasonic,TH-P50XT50A
Panasonic,TH-P50XT50A
BAUHN,ATV-23FEDC1
SONIQ,E40S12A-AU
SUMO,SV-D01-185
HITACHI,LE50EC04AUD
Viano,LED24DFHD
SONIQ,E32Z10A-AU
VOXSON,VLED32-2
VISION,VS42LED3
VISION,VS42LED1
VISION,VS42LED2
VISION,VS42LEDD
VISION,YP42A01
VISION,YP42B01
VISION,YP42C01
VISION,YP42H01
Panasonic,TH-40CS610Z
Panasonic,TH-L50EM5Z
Panasonic,TH-L55ET5Z
VEON,VN37A3LED
Panasonic,TH-L50BL6Z
Panasonic,TH-P65ST60Z
TRANSONIC,TC46D6LCD
VEON,VN46D1LCD
Panasonic,TH-50AS640Z
Panasonic,TH-P60UT50Z
Panasonic,TH-P65VT50Z
Thomson,L24D
Thomson,LL19D
Panasonic,TH-L39EV6Z
Panasonic,TH-L32E6Z
Panasonic,TH-L55ET60Z
Panasonic,TH-L50E6Z
Panasonic,TH-L24XM6Z
Panasonic,TH-P50X60Z
Panasonic,TH-P50ST60Z
Panasonic,TH-P50S60Z
Panasonic,TH-L50EM6Z
Panasonic,TH-L39B6Z
Panasonic,TH-L39EM6Z
VEON,VN4628LED-FHD
VEON,VN3928LED
GVA,GVAN32FLED
VEON,VN3257LCD
Panasonic,TH-P60GT50Z
Panasonic,TH-P60ST50Z
Panasonic,TH-P65ST50Z
KONKA,KDL24MS510A
KONKA,KDL19MS510A
KONKA,KDL19MS512A
Veon,SRO9105
Veon,SRO9107
TEAC,LEDV2816FV
VEON,VN3938LED
TEAC,LEDV1916FV
TEAC,LEDV2216FV
VEON,VN24H1LCDHD
TEAC,LEDV1915FV
TEAC,LED1901FV
Panasonic,TH-L55DT50Z
Panasonic,TH-L42DT50Z
Panasonic,TH-L42ET50Z
Panasonic,TH-L47DT50Z
Panasonic,TH-L47ET50Z
Panasonic,TH-L47WT50Z
Panasonic,TH-L55WT50Z
Panasonic,TH-P55UT50Z
Panasonic,TH-P55VT50Z
Panasonic,TH-P55GT50Z
Panasonic,TH-P50U50Z
Panasonic,TH-P50GT50Z
Panasonic,TH-L32EM5Z
Panasonic,TH-L32XM5Z
VOXSON,VLED40CP
VISION,VS32LEDD
VISION,VS32LEDD1
VISION,VS32LEDD2
VISION,YP32A01
VISION,YP32B01
VISION,YP32C01
VISION,YP32H01
VISION,VS32LEDD3
VISION,VS24LEDD1
VISION,VS24LEDD2
VISION,VS24LEDD3
VISION,YP24A01
VISION,YP24B01
VISION,YP24C01
VISION,YP24H01
VISION,VS24LEDD
VISION,VS19LEDD1
VISION,VS19LEDD2
VISION,VS19LEDD3
VISION,YP19A01
VISION,YP19B01
VISION,YP19C01
VISION,YP19H01
VISION,VS19LEDD
VISION,VS40LEDD
VISION,VS40LEDD1
VISION,VS40LEDD2
VISION,VS40LEDD3
VISION,YP40A01
VISION,YP40B01
VISION,YP40C01
VISION,YP40H01
VOXSON,VLED46CP
GVA,GVAN26LEDC
Veon,SROM9106
Panasonic,TH-50CS650Z
Panasonic,TH-L39EM5Z
Panasonic,TH-L60E55Z
GVA,GVAN19LEDC
VEON,VN3059LCD-F8
GVA,GVANF22LED
VEON,VN3228LED-FHD
AKAI,AK22FLEDCG
AKAI,AK32DLEDN
VOXSON,VLED32-3
VISION,VS22LEDD1
VISION,VS22LEDD2
VISION,VS22LEDD3
VISION,YP22A01
VISION,YP22B01
VISION,YP22C01
VISION,YP22H01
VISION,VS22LEDD
VISION,VS26LEDD
VISION,VS26LEDD1
VISION,VS26LEDD2
VISION,VS26LEDD3
VISION,YP26A01
VISION,YP26B01
VISION,YP26C01
VISION,YP26H01
OKANO,LTV2600
SONIQ,E24Z10A-AU
SONIQ,E16Z10A-AU
OKANO,LTV5500F
SONIQ,L16V10B-AU
Thomson,LL22D
SONIQ,L32V12A-AU
VEON,VN4611LCD
UNIDEN,TL19-DV
UNIDEN,TL16-DV
Panasonic,TH-32A400Z
VEON,VN42S90LED
Panasonic,TH-50C400Z
VEON,VN2412LEDDVD
VEON,VN1630LED
VEON,VN32D3LED
VEON,VN50D3LED
VEON,VN3216LEDDVD
VEON,VN4212LED
Panasonic,TH-L55DT60Z
Panasonic,TH-L50DT60Z
VEON,VN4638LED
Panasonic,TH-L65WT600Z
VEON,VN3257LCD
Panasonic,TH-P50ST60Z
Panasonic,TH-L55WT60Z
SONIQ,L26V10A-AU
Panasonic,TH-P55VT60Z
Panasonic,TH-P65VT60Z
Panasonic,TH-P60ST60Z
Panasonic,TH-L42ET60Z
VEON,VN5812LED
Panasonic,TH-42AS700Z
Panasonic,TH-50CX610Z
Panasonic,TH-L55WT60Z
Panasonic,TH-L47WT60Z
Panasonic,TH-L50ET60Z
Panasonic,TH-P60S60Z
Panasonic,TH-L32B6Z
Panasonic,TH-L32XM6Z
TEAC,LEDV2416FV
TEAC,LEDV2215FV
KOGAN,KALCD42XXXZA
Panasonic,TH-55CX640Z
KOGAN,KALED503DSA
TEAC,LED2402FV
KONKA,KDL55JT611A
Panasonic,TH-85X940Z
Panasonic,TH-65AX900Z
VEON,VN3219LEDDVD
VEON,VN3299LEDDVD
Panasonic,TH-32AS610Z
Panasonic,TH-65AX800Z
VEON,VN4219LED
Panasonic,TH-55AX670Z
DORA,DECE1111B
DORA,LD156MSA6
Panasonic,TH-L50B6Z
Panasonic,TH-L32XV6Z
Panasonic,TH-60CX700Z
Panasonic,TH-65CX640Z
VEON,VN3238LED
VEON,VN1912LEDDVD
VEON,VN2412LED
VEON,VN2212LED
VEON,VN1912LED
Panasonic,TH-L42E6Z
Samsung,UA32J4003AW
Panasonic,TH-48AX670Z
Panasonic,TH-40CS650Z
Panasonic,TH-50A400Z
Panasonic,TH-55AS800Z
VEON,VN4018LED
Panasonic,TH-60AS700Z
Panasonic,TH-50AS700Z
Panasonic,TH-40A400Z
Panasonic,TH-60AS640Z
Panasonic,TH-42AS640Z
Panasonic,TH-60AS800Z
Panasonic,TH-24A400Z
Panasonic,TH-55AS700Z
Panasonic,TH-55AS670Z
Panasonic,TH-60A430Z
Panasonic,TH-55CS650Z
Panasonic,TH-58AX800Z
Panasonic,TH-32AS630Z
Panasonic,TH-50AS610Z
Panasonic,TH-50A430Z
Panasonic,TH-42A410Z
VEON,VN39D3LED
UNIDEN,TL22-DV
AKAI,AK24FLEDG
AKAI,AK18LEDG
AKAI,AK32DLEDG
Panasonic,TH-32C410Z
VEON,VN50S90LED
Panasonic,TH-60CX640Z
Panasonic,TH-42C400Z
Panasonic,TH--60CS610Z
Panasonic,TH-32C400Z
Panasonic,TH-60C430Z
Panasonic,TH-40C400Z
Panasonic,TH-24C400Z
Panasonic,TH-32CS600Z
Samsung,UA32FH4003W
Panasonic,TH-65CS610Z
Panasonic,TH-50CS610Z
Samsung,UA55J5500ASXNZ
Panasonic,TH-40CX610Z
Panasonic,TH-55CX700Z
Panasonic,TH-65CX700Z
KONKA,KDE55JT303A
KONKA,KDG32JT542A
KONKA,KDG50JT628A
Samsung,UA40JU6600SXNZ
Panasonic,TH-50CX700Z
SONIQ,E26Z11B-AU
Kogan,KALED55XX**
Panasonic,TH-P42ST30Z
Panasonic,TH-L32U30Z
Panasonic,TH-P50UT50Z
Panasonic,TH-P42UT50Z
Panasonic,TH-L42ET5Z
Panasonic,TH-P50ST50Z
VOXSON,VLCD32XTD-3
Kogan,KALED19XXX**
Kogan,KALED16XXX**
SONIQ,L32V11B-AU
SONIQ,E16Z11B-AU
SONIQ,E22Z11B-AU
SONIQ,E32Z11A-AU
SONIQ,E22Z11C-AU
Panasonic,TH-P50X50Z
Panasonic,TH-L32E5Z
VOXSON,VLCD26XT
VOXSON,VLCD32CTX-3
VOXSON,VLCD26CTX
Panasonic,TH-P42X50Z
VEON,VN2280LED-FHD-C
Panasonic,TH-L47E5Z
TEAC,LEDV1605DT
TEAC,LCDV1500DT
TEAC,LEDV2205DT
Panasonic,TH-P65VT30Z
Panasonic,TH-P58S20Z
KONKA,KDL50MS701A
Thomson,CTF2291
Panasonic,TH-L47ET5Z
Panasonic,TH-L42E5Z
Panasonic,TH-L32X50Z
Panasonic,TH-P42ST50Z
Panasonic,TH-P50GT30Z
Panasonic,TH-L42U30Z
Panasonic,TH-L32C30Z
Panasonic,TH-L32X30Z
VOXSON,VLCD46CP
TEAC,LCD3282FHD
TEAC,LCD-320X
Bluesen,BL39X19NZ
Bluesen,BL48X19NZ
KONKA,KDL39MS615A
KONKA,KDL32MS611A
KONKA,KDL32MS65A
KONKA,KDL48GS618A
KONKA,KDL40GS518A
kinezo,KNZ24FHDLEDDVD
Visione,VISLED1960HD
VOXSON,VLED32
VEON,VN1980LED/DVD-C
KONKA,KDL19GS618A
KONKA,KDL19GS619A
TRANSONIC,TC2430LED/DVD-C
TEAC,LEDV1905DT
VOXSON,VLCD32CTX-2
TEAC,LEDV2405DT
SONIQ,L42V11A-AU
SONIQ,L32V11C-AU
Panasonic,TH-P60ST30Z
Panasonic,TH-P50UT30Z
Panasonic,TH-P42UT30Z
Panasonic,TH-P55ST30Z
Panasonic,TH-P55GT30Z
Panasonic,TH-P50X30Z
Panasonic,TH-P50VT30Z
Panasonic,TH-P50U30Z
Panasonic,TH-P42X30Z
Panasonic,TH-P50ST30Z
Panasonic,TH-P46GT30Z
Panasonic,TH-P42VT30Z
Panasonic,TH-P42U30Z
Panasonic,TH-L42E3Z
Panasonic,TH-L32E3Z
Panasonic,TH-L42E30Z
Panasonic,TH-L32E30Z
Panasonic,TH-L37DT30Z
TEAC,LCD4282FHD
TEAC,LCD-420X
THOMSON,32D6
Panasonic,TH-L32DT30Z
KONKA,KDL40MT627AN
Changhong,LED32A3500*
Changhong,LT39A3100*
Changhong,LT39A3100*
Changhong,E24M750**
Changhong,E32M250**
Changhong,PT43A3600*
Changhong,PT51A3600*
Visione,VISLED3260HD
Visione,VISLED1965HD
KONKA,KDL24GS618A
KONKA,KDL39GS618A
Bluesen,BL32X19NZ
KONKA,KDL42GS618A
KONKA,KDL32GS619A
KONKA,KDL32GS618A
KONKA,KDL32MS615A
KONKA,KDL42MS611A
KONKA,KDL40ES620A
KONKA,KDL32ES620A
KONKA,KDG32JT620A
Panasonic,TH-42A400Z
LG,26LE3300-TA
SONY,KD-70X8500B
THTF,KGNPRO26VAA
THTF,LC-26A40
LG,32LE5310-TC
GVA,G32TDC15
PHILIPS,32HFL5007D/10
Sony,KDL-32W700B
LG,50PZ850-TA
PHILIPS,42HFL4007D/10
CHANGHONG,E22M550DV
CHANGHONG,E22M550DA
CHANGHONG,E22M550DB
CHANGHONG,E22M550DC
CHANGHONG,E22M550DE
CHANGHONG,E22M550DV-NE
CHANGHONG,E22M550DV-NA
LG,60PZ950-TA
LG,55LX6500-TD
Metz,Axio pro 26 LED CT Z
LG,32LE4500-TA
Sony,KDL-60W850B
LG,32LV3500-TA
LG,50PW450-TD
HISENSE,HLS140T18PZL
Sony,KDL-70W850B
Sony,KDL-32W700C
PHILIPS,26HFL3117D/10
Palsonic,TFTV6066MW
Palsonic,TFTV6066M
Metz,Sirius 42 LED 200 twin R
WINTAL,26LCD11FHD
VISION,VS32LEDDVDPZ1
LG,26LK330-TB
SAMSUNG ELECTRONICS,UA40H5003AW
LG,32LK330-TH
SAMSUNG ELECTRONICS,UA19H4000AW
LG,47LT650H-TA
LG,47LT640H-TA
LG,47LM6410-TB
LG,32LM6410-TB
VISION,24E01
VISION,VS24LEDDVDP3
LG,42LK457C-TA
Metz,Caleo 42 LED 200 Media twin R
HISENSE,HL39K20D
LG,55LA6200-TA
SAMSUNG ELECTRONICS,UA55F9000AM
LG,70LB656V-TA
Palsonic,TFTV700M
LG,26LT650H-TA
SHARP,LC-60LE650X
Skyworth,24E58A
LG,50LB6500-TH
LG,42LY540H-TA
VERA,NM023-34LED
SAMSUNG ELECTRONICS,HG55AC690EW
GVA,GVALED15J
JVC,LT-40ND55A
TCL,L32S4690S
Metz,Caleo 47 LED 200 Media twin R
Metz,Caleo 37 LED 200 Media twin R
Changhong,LED40C2600
HISENSE,85T910UAD
LG,47LY540H-TA
Sony,KDL-40W700C
LG,65UF770T-TA
Palsonic,TFTV3955MW
SAMSUNG ELECTRONICS,UA82S9WAW
LG,42LX531H-TA
CHANGHONG,E42M650PV
CHANGHONG,E42M650PA
CHANGHONG,E42M650PB
CHANGHONG,E42M650PC
CHANGHONG,E42M650PD
LG,55UG870T-TA
Blaupunkt,BP3230HDV
JVC,LT-39N530A
TCL,L65E55**FDS
KOGAN,KALED24XXXZA
Teco,LED19EHRTBBF
SONIQ,S42V14B-AU
SONIQ,S42V14B-NZ
LG,60UF770V-TA
SAMSUNG ELECTRONICS,HG55AC890XW
KOGAN,KALED50XXXVA
LG,32LV2530-TK
LG,42LK450-TG
LG,22LK330-TH
SAMSUNG ELECTRONICS,UA28H4000AW
JVC,LT-42N530Z
SAMSUNG ELECTRONICS,HG46AC890XW
TCL,L46E5510FDS
CHANGHONG,L32M150DV
CHANGHONG,L32M150DA
CHANGHONG,L32M150DB
CHANGHONG,L32M150DC
CHANGHONG,L32M150DV-NC
LG,32LF631V-TB
Orion,42ST6000
LG,50PZ650-TD
Palsonic,TFTV5027FL
SHARP,LC-60LE960X
Changhong,3D60C4000i
LG,55UB850T-TA
LG,65LA9700-TA
Changhong,LED39C2000
KOGAN,KALED55UHDZA
TEAC,LEV3992FHD
LG,32LT360C-TA
LG,32LV3300-TG
LG,26LK330-TH
LG,47LW7200-AA
Blaupunkt,BP2830HDV
TCL,L32E5510S
LG,42LV3400-TA
LG,32LK330-TB
TEAC,LE5050FHD
Metz,Linus 32 LED 200 Media twin Z
Metz,Axio pro 42 LED 200 Media twin R
LG,65LM6200-TA
SHARP,LC-70LE951X
SHARP,LC-70LE950X
SHARP,LC-70LE960X
FIRETAIL,LE-2230
Metz,Primus 42 3D Media twin R
Metz,Primus 55 3D Media twin R
LG,42LM3400-TB
LG,32LM6400-TA
Digitel+,LT40SACUA
HISENSE,HL50K360PZL3D
LG,47LM6690-TC
LG,42LT640H-TA
LG,42LM6200-TA
LG,47LK457C-TA
LG,32LM6690-TC
CHANGHONG,3D55A4000*
LG,55LW9800-TA
LG,32LD320H-TB
LG,55LW4500-TA
LG,42LY755H-TA
LG,55LW7700-TA
LG,26LD352C-TA
LG,42LH220H-TA
LG,42LS3400-TA
Digitel+,LT32S16UA
HISENSE,HL42K15PL
HISENSE,HL40T28PZL
HISENSE,HL26T28L
LG,32LS3400-TA
LG,32LM6200-TA
LG,55UC970T-TA
HISENSE,HL24V78P
HISENSE,HL46K26PZL
HISENSE,HL42K316PZL3D
HISENSE,HL50K316PZL3D
HISENSE,HL40V78P
HISENSE,HL32V87
HISENSE,HL32T28PZL
HISENSE,HL42K11PL
dick smith,GE6800
LG,60LB5820-TB
KOGAN,KALED55XX1A
LG,37LV355H-TA
CHANGHONG,E19M550DV
CHANGHONG,E19M550DA
CHANGHONG,E19M550DB
CHANGHONG,E19M550DC
CHANGHONG,E19M550DE
CHANGHONG,E19M550DV-NE
CHANGHONG,E19M550DV-NC
CHANGHONG,E22M450PV
CHANGHONG,E22M450PA
CHANGHONG,E22M450PB
CHANGHONG,E22M450PC
CHANGHONG,E22M450PD
CHANGHONG,E22M450-NC
CHANGHONG,E22M450-NE
MEDION,MD21097 AUS-A
CHANGHONG,E19M450PV
CHANGHONG,E19M450PA
CHANGHONG,E19M450PB
CHANGHONG,E19M450PC
CHANGHONG,E19M450PD
CHANGHONG,E19M450PV-NE
CHANGHONG,E19M450PV-NC
LG,42LW4500-TA
LG,32LS3500-TB
LG,42LK450-TA
TEAC,LEV24A1FHD
LG,47LM6700-TA
HISENSE,HL55T36PZL
CHANGHONG,E32M450PV
CHANGHONG,E32M450PA
CHANGHONG,E32M450PB
CHANGHONG,E32M450PC
CHANGHONG,E32M450PD
CHANGHONG,E32M450PE
CHANGHONG,E32M450PV-NC
CHANGHONG,E32M450P-NE
CHANGHONG,E22M650PV
CHANGHONG,E22M650PA
CHANGHONG,E22M650PB
CHANGHONG,E22M650PC
CHANGHONG,E22M650PV-NC
CHANGHONG,E24M550DV
CHANGHONG,E24M550DA
CHANGHONG,E24M550DB
CHANGHONG,E24M550DC
CHANGHONG,E24M550DE
CHANGHONG,E24M550DV-NE
CHANGHONG,E24M550DV-NC
CHANGHONG,L42M100FD
CHANGHONG,L42M100FA
CHANGHONG,L42M100FB
CHANGHONG,L42M100FC
CHANGHONG,L42M100FD
CHANGHONG,L42M100FN
CHANGHONG,L42M100FM
CHANGHONG,LED2407B
CHANGHONG,LED2407BA
CHANGHONG,LED2407BC
CHANGHONG,LED2407BD
CHANGHONG,CHP4263A
CHANGHONG,CHP4263AB
CHANGHONG,CHP4263AC
CHANGHONG,CHP4263AD
CHANGHONG,CHL4725A
CHANGHONG,CHL4725AB
CHANGHONG,CHL4725AC
CHANGHONG,CHL4725AD
CHANGHONG,CHP4210A
CHANGHONG,CHP4210AB
CHANGHONG,CHP4210AC
CHANGHONG,CHP4210AD
CHANGHONG,E32M650PV
CHANGHONG,E32M650PA
CHANGHONG,E32M650PB
CHANGHONG,E32M650PC
CHANGHONG,E32M650PD
CHANGHONG,E32M650PV-NC
CHANGHONG,E19M650**
CELESTIAL,LT4010A
CELESTIAL,LT4010B
CELESTIAL,LT4010C
CELESTIAL,LT4010D
CELESTIAL,LT4010A-NC
CELESTIAL,LT4010*
CELESTIAL,LT2610A
CELESTIAL,LT2610B
CELESTIAL,LT2610C
CELESTIAL,LT2010D
CELESTIAL,LT2610A-NC
CELESTIAL,LT2610A-NA
dick smith,GE6603
TCL,U40E5691FDS
LG,32LV3300-TA
LG,72LW9900-TA
octopus,OCTO-133CTV
octopus,OCTO-1308A
octopus,OCTO-1328
octopus,OCTO-1329
PHILIPS,22HFL3117D/10
SAMSUNG ELECTRONICS,UA32F4500AM
LG,32LS3450-TA
LG,37LT640H-TA
SAMSUNG ELECTRONICS,UA46F6300AM
CHANGHONG,L42M150DV
CHANGHONG,L42M150DA
CHANGHONG,L42M150DB
CHANGHONG,L42M150DC
CHANGHONG,L42M150DV-NC
CHANGHONG,L42M150DV-NE
LG,55LW7200-AA
TCL,U50E6800FS
LG,42LV355H-TA
LG,55LV355H-TA
SONIQ,E23Z13A-NZ
SONIQ,E23Z15A-NZ
SONIQ,E23Z15A-AU
SHARP,LC-46LE835X
HISENSE,HL46T39PZLN3D
LG,32LW5700-TA
LG,26LV2530-TK
LG,22LV2530-TK
LG,32LK450-TG
HISENSE,HL46K11PL
Orion,46ST6000
Changhong,LED32A6500i
pangoo,LC-32A58
pangoo,"LT-32S31F,LC-32A58"
pangoo,LT-32S31F
LG,47LW9800-TA
HISENSE,HL55T40PZLN3D
SHARP,LC-40LE530X
LG,32LK455H-TA
LG,42LW5700-TA
FIRETAIL,LE-1910
HISENSE,HL32K26PL
HISENSE,HL40K26PZL
SAMSUNG ELECTRONICS,UA46F8500AM
SAMSUNG ELECTRONICS,UA22F5000AM
LG,47LV355C-TA
LG,32LK455C-TA
LG,32LH200C-TA
LG,37LK455C-TA
Orion,26MT6000
TCL,L65E5500FS
LG,32LW4500-TA
GVA,GVALED15
LG,47LK455C-TA
LG,42LD320H-TB
LG,42LK455H-TA
LG,65LW6500-TA
WINTAL,32LCD11FHD
WINTAL,19LCD11HD
LG,32LV3400-TA
HISENSE,HL55T39PZLN3D
HISENSE,HL26V78
HISENSE,HL42K16PL
HISENSE,HL24K16PL
LG,37LV3730-TD
HISENSE,HL32V78
LG,22LK335C-TB
GVA,GVADLED32
SAMSUNG ELECTRONICS,UA40F7500BM
LG,32LK335C-TB
LG,26LK335C-TB
HISENSE,HL32K16L
HISENSE,HL19K16L
LG,47LW4500-TA
LG,32LV3730-TD
HISENSE,HL55K360PZL3D
Schaub Lorenz,SL 37-5 LED-100
SONIQ,E19Z10A-AU
Schaub Lorenz,SL 32-5 LED
LG,32LD462B-TA
LG,37LD462B-TA
LG,42LD462B-TA
LG,47LD462B-TA
GVA,GVAFLEDC22J 
HISENSE,HL26K16PL
LG,47LV3730-TD
GVA,GVALEDC19J
LG,42LV3730-TD
LG,47LW9500-TA
LG,47LV3500-TA
SHARP,LC-60LE830X
DORA,DE06(DECE2008)
Palsonic,TFTV805LED
LG,47LV5500-TA
LG,42LW6500-TA
LG,47LW5700-TA
LG,55LW6500-TA
LG,47LW6500-TA
LG,47LW7700-TA
LG,50PX950-AA
LG,50PZ570-TB
LG,50PZ950-TA
LG,42LT650H-TA
LG,22LK330-TB
LG,37LV3500-TA
LG,42LK430-TB
LG,32LV2530-TD
LG,32LK450-TA
LG,32LK430-TB
LG,42PW450-TD
LG,42LV3500-TA
LG,42PT250-TA
LG,50PT250-TA
LG,26LV2530-TD
Metz,Primus 55 LED 200 twin R
LG,42LS3450-TA
HISENSE,HL32V86
HISENSE,HL55T36PZLN3D
CHANGHONG,E42M450PV
CHANGHONG,E42M450PA
CHANGHONG,E42M450PB
CHANGHONG,E42M450PC
CHANGHONG,E42M450PD
